term,score
調酒,0.15872047096588074
還有,0.12699805520750973
沒有,0.12308991250089298
酒單,0.11946668839847438
店員,0.10967810758179493
回訪,0.1005922424634136
酒吧,0.09946760811672711
命名,0.09126634448375227
牛肉,0.09017757088461474
酒精,0.08553725220956021
好喝,0.08137949388898057
不錯,0.07582645963114515
威士忌,0.07254522879842476
很特別,0.06369292076556143
金沙,0.06096265207148345
店內,0.05659124517784733
氣氛,0.055984850736832556
以動物,0.05381425712107417
松露,0.052630168093156376
薯條,0.052630168093156376
口感,0.05258014568318843
松阪豬,0.04710663337340945
韃靼,0.04697465888083075
推薦,0.04358067982461929
搭配,0.04134327930669087
