term,score
油飯,0.2552414804860918
蒸蛋,0.2046635583702333
肉羹,0.14254592458525153
口感,0.1277374445477612
小菜,0.12063184886455663
秋刀魚,0.12002574354645695
甘露,0.12002574354645695
湯加,0.11813362393528952
不是,0.10140501221274104
不會,0.09890456344560626
香菇,0.07627959365261998
紫米,0.07586462149518367
增湯,0.073112854794741
乾淨,0.07056001139590083
清爽,0.0681310755071273
剛好,0.06807121607847157
肉燥,0.06783035006849514
這次,0.06656417667173924
香氣,0.0624144257820148
層次,0.0615225379554698
貢丸,0.050554439598116334
感受,0.045294797296149075
