term,score
米線,0.10887596750691225
油條,0.09410548073915513
喜歡,0.07187299793258081
一碗,0.07184536747043355
生春,0.0640886773655527
清爽,0.061775300936787236
生菜,0.05948483596315436
越南,0.05935997825790815
130,0.0593438338746656
親切,0.05726313776347521
酥脆,0.056067862124367006
新鮮,0.05391881476351542
木瓜,0.053211576639647526
看看,0.050206305277654184
好喝,0.04993975283694517
朋友,0.049729568506686535
不油膩,0.048228647691192124
下次,0.04581246536405418
超級,0.04431454970059899
牛肉,0.04323274027874513
一定,0.04184627566552465
鮮甜,0.04029301487290649
100,0.037767739709680434
80,0.029642450764625558
