term,score
大概,0.3638414995692355
分鐘,0.24686277433307702
10,0.21651063782716617
忘記,0.12080088174581023
豆腐,0.11653841513069847
幾乎,0.11648497810059298
只有,0.10875207414664097
茶香,0.08633839725197534
特色,0.07316961769934496
不會,0.06973101721470099
清淡,0.06216809390570813
風景,0.05229946337390981
不用,0.05057373377601584
今天,0.0458648447824284
份量,0.03703995673753306
聊天,0.03532107400626307
四人,0.031683248006815504
炒飯,0.02810803308789063
特別,0.021081428407785596
舒服,0.016401060570959095
剛剛,0.013491286170938546
鐵觀,0.009174902544737209
道菜,0.006165895947554456
酥脆,0.006037870823768943
