term,score
用餐,0.14101022573720348
青醬,0.13455284202756218
雞肉,0.09859754111271844
飲料,0.09622055250788558
cp,0.08620644293394845
今天,0.08380889458812835
紅醬,0.08162384592456332
搭配,0.08080834242803926
平價,0.07899532734084105
空間,0.07790214914618789
座位,0.0762763396213
很棒,0.07218386567543444
生意,0.07149335910849454
免費,0.06979189967118506
點餐,0.06702760807733163
選擇,0.062800135303509
濃郁,0.06083026846470345
附近,0.06021637555914884
二樓,0.059461165883411674
氣氛,0.05440995765895302
內用,0.052891386153900016
再訪,0.052651454272411635
特別,0.05225586039784624
咖哩,0.05074833265626912
無限暢,0.04973048109958934
提供,0.0471964220049616
需要,0.04596969737650221
醬料,0.043985816300918495
店內,0.043337895086362
義大利麵,0.04150911137318966
