term,score
牛肉,0.17048672973968276
小菜,0.13198374137689953
用餐,0.11644576512788771
份量,0.11261442689335327
番茄,0.10902172036614027
青菜,0.10874776686154447
客人,0.10195602155394813
美味,0.10057853876652077
不錯,0.08952330416649693
店內,0.08613875014393108
排骨,0.08607563575232738
炒蛋,0.08574283321396238
不會,0.08265715726613147
搭配,0.08216109371843816
土豆,0.08003210753729112
一般,0.07864200976977714
湯頭,0.07822085860885486
不少,0.0775060830501718
炒飯,0.07389723526978811
蝦仁肉,0.0694495542979417
推薦,0.06804217281096354
點了,0.06206919331259569
絲蛋,0.05722962460052977
