term,score
不錯,0.19288544752508116
漢堡,0.163475458421453
推薦,0.11421962079062241
沙拉,0.11201326071887549
套餐,0.0999898810908656
份量,0.08968610157655899
搭配,0.08636674456625984
附近,0.08631875193867378
喜歡,0.08495412275297907
店家,0.08318022979992795
新鮮,0.08302011296703539
美味,0.08159346565658052
酥脆,0.0810671211403152
唐揚,0.07978593909519915
天婦,0.07758666742071232
整體,0.07753540552187688
定食,0.07108937804478767
驚艷,0.06345600658981795
小菜,0.0630432322913535
點了,0.0630432322913535
輔大,0.060696933258490265
排定,0.05823976856680328
多汁,0.05037655786799838
一點,0.04761863183021954
