term,score
小籠,0.16779709967193435
排骨,0.14966526745449854
炒飯,0.1200125429548512
鼎泰豐,0.09754158297740714
不會,0.08207460569768389
雞湯,0.08150346925627082
抄手,0.07967642110018686
松露,0.07915665929125337
湯包,0.07707157826834306
還是,0.07359104922175526
油炒,0.07338956355394476
推薦,0.07332164186366151
紅油,0.06817530745926886
幾次,0.06790903569937226
入座,0.0659719888073508
排隊,0.06535169201708461
元盅,0.06263002934971802
酸辣,0.062626009492057
雖然,0.06151721558505692
水準,0.05878812254977067
果然,0.0584403063359569
分鐘,0.05601040514642426
下午,0.053703685234527176
巧克力,0.05338624416609765
大概,0.0529664323438654
分明,0.05247196183139417
一點,0.05069518955011823
用餐,0.05067081238859322
粒粒,0.049966488071821774
沙包,0.04915606871771991
