term,score
啤酒,0.17805106460935025
午餐,0.12079612481541684
聚餐,0.09437204670964842
訂位,0.0841867148717236
美味,0.0820712045213658
四個,0.07947615363197817
選擇,0.07587221803520114
朋友,0.0738749266477912
地中海,0.0733290184165759
建議,0.07153463382579596
氣氛,0.07126910853873192
套餐,0.07114759402076268
用餐,0.06975336549830596
種類,0.06835846706323184
整體,0.0679345029825471
親切,0.06581215942044917
幫忙,0.05977290866403616
精釀,0.05938345641333996
異國,0.05868772476966677
氛圍,0.056439375280710344
介紹,0.05632618970747084
推薦,0.05460606610531685
地點,0.05439803457065867
牛肉,0.05430323135509301
喜歡,0.05377029732935909
特色,0.04884658787211624
一道,0.04652359897153986
方便,0.04624103379896016
搭配,0.04527182488414677
聚會,0.044184877151801125
