term,score
搭配,0.1025463700488681
龍蝦,0.09742108311791274
氣氛,0.08790458951408125
朋友,0.06801842365212538
份量,0.06402165208498925
蛋糕,0.06107457179965117
不夠,0.05906197634996394
可頌,0.05886911323357165
濃湯,0.058373683408049604
美味,0.057636502161414235
正常,0.05663026332207689
喜歡,0.0565606916627483
一下,0.05481905792275589
偏少,0.051560638097363984
加上,0.04473693974742707
鈴薯,0.04278856542048146
牛舌,0.03967986379924411
30,0.03925070758976892
清爽,0.03325009144549577
規中矩,0.032835535431616186
口感,0.017214506397693348
前往,0.016758441649929588
入口,0.015593456819521845
服務人員,0.015460147400026339
牛肉,0.013969001101015621
分熟,0.008554997120988464
熟度,0.005301652629600001
甜點,0.00432814762679673
生日,0.003522841028338816
