term,score
分鐘,0.22322102923686177
20,0.1406853081967259
需要,0.10370392757773902
90,0.0997127589486404
程度,0.0997127589486404
大概,0.09446287208742052
直接,0.07996882332232981
不好,0.0759443718591571
偏高,0.06699898658581085
qq,0.06670109950598303
很小,0.06630893071120035
雞塊,0.05806236195918586
那麼,0.055931335198187895
用餐,0.05348472159787463
一杯,0.051231625996448926
排骨,0.05095352458761121
裝潢,0.05015948501716871
飲料,0.04523660531297716
調味,0.0409212729128168
漢堡,0.03522444542501336
一份,0.03316739488520251
拍照,0.033133875171642554
特色,0.029809745769787628
午餐,0.029724011311252293
泥球,0.026762536183900426
已經,0.025457791294672658
第一次,0.023916240983734897
上班,0.023331010706195393
現金,0.020016447630493726
點了,0.0190927261323
