term,score
蛋餅,0.11696574098236709
吐司,0.1097269546581737
早餐,0.060389730352663845
喜歡,0.05588220517350154
搭配,0.048775247606825424
附近,0.048519047721318
今天,0.04269971531068105
廁所,0.0422871638400368
座位,0.04160815706314367
內用,0.04135239105744084
手工,0.03895227669561144
特別,0.03866320510540681
魚排,0.03835673905976851
店內,0.03731913141773448
勢力,0.03701286910675006
整體,0.035486311179796795
花生,0.03456777163311521
可愛的,0.033000424237017614
配上,0.031748794403743466
酥脆,0.030371012360277568
清爽,0.029970106056800123
時候,0.029534904914596857
塔塔,0.029406053246162012
起司,0.0292784253256611
而言,0.028880996751620626
提供,0.028805184463184284
使用,0.028590688573551813
98,0.027129161327072774
另外,0.025933407761440895
公館,0.025794779236681442
