term,score
四種,0.2282126324716673
許多,0.2280260322186532
當天,0.22657599738300893
師炸,0.22382338428008655
雞餐,0.22382338428008655
是不是,0.22332583160234237
肉質,0.22269422315589685
那麼,0.22033968263256906
推薦,0.21409703301974167
雞塊,0.2124067571374755
自助,0.20679464519126062
海帶,0.20578426399453914
醬料,0.201375905504803
250,0.19211501916284413
不會,0.18763473532714028
整體,0.1820252801872227
200,0.15584231982850744
白飯,0.10653453337070976
小菜,0.0876593865819001
咖哩,0.08238935024642892
飲料,0.040485134553913546
麻辣,0.03564143425062863
鴨血,0.014139019513580667
