term,score
小菜,0.09740672438609962
鴨血,0.0872245777805353
麻辣,0.08512206343799283
雞湯,0.08156999129653976
咖哩,0.07802046306046993
飲料,0.06974945943155675
學生,0.0643102548672285
自助,0.06373599191535388
cp,0.06347905576221016
還有,0.06321855904877309
咖喱,0.059771092387797986
白飯,0.05514094062494751
炸雞,0.05386284555202404
不錯,0.05268375454506372
親切,0.047302127088904515
自己,0.04323327181506894
用餐,0.03924454947904083
選擇,0.038837901509941215
無限,0.037902633856722226
沒有,0.037132036601604926
雞師,0.03666012366998522
很多,0.03646574504333122
份量,0.03547190730849213
套餐,0.03476933591430393
口感,0.03452391742256651
酥脆,0.03314987109059362
內用,0.03281522188834861
炸物,0.03187435862745251
雞肉,0.03174034603026756
超級,0.03141113973649461
