term,score
牛排,0.16284505100115854
配菜,0.1197715684173522
用餐,0.1025469284085883
整體,0.09468464490758444
奶油,0.07780327031375046
口感,0.07434844940226795
這次,0.06765989444806227
不錯,0.06651010197184737
安東廳,0.06631746217944533
喜來,0.06414386540535956
紐約客,0.06313613633497821
不是,0.060063646065274444
搭配,0.05955665693273525
香氣,0.057208625772739795
喜歡,0.056119566438316226
午餐,0.05551845407470195
氣氛,0.05395938595886245
水準,0.053757776638282476
推薦,0.053427695253489976
蘑菇,0.051185223330637075
完美,0.05073192500178561
套餐,0.04810965033123203
品質,0.04742565128746516
感受,0.04735247864517924
熟成,0.04705076800982369
享受,0.046829138971793256
南瓜,0.04558682208968612
娃娃,0.04527877803910208
冰淇淋,0.04511515075518824
甜點,0.04508068337396646
