term,score
份量,0.12808489182659
沙拉,0.11142733457648171
漢堡,0.09321074761501841
大餐,0.08946813930002728
新鮮,0.08651365305986314
建議,0.07673161485408644
座位,0.07551130282727703
鹿境,0.07079142056266646
水果,0.06900770466021809
咖啡,0.06447068285350058
很夠,0.06339507720081458
美味,0.061085826880304936
選擇,0.059712293160580424
地瓜,0.058235425401411724
豐盛,0.05706979139778886
生菜沙拉,0.05328851192361707
豐富,0.05089429543487226
一杯,0.04868891809766339
推薦,0.04572429596056294
薯塊,0.04418743670432494
訂位,0.04394215588031629
美式,0.04301007514851899
很棒,0.04177003058093096
優格,0.041253380450314014
香料,0.040893807613850405
鮑菇,0.04066875850784155
種類,0.038669381286522836
雞腿,0.03854028325591254
飲料,0.03842748704684644
義式,0.03667033454240474
