term,score
炒飯,0.14205383569325647
阿姨,0.11300559805362634
反應,0.11222623282949909
一樣,0.11222623282949909
雞排,0.10945506885311312
番茄,0.10945506885311312
還是,0.10498200030721501
現炸,0.09283647517275062
口感,0.09283647517275062
自認,0.09283647517275062
送來,0.09283647517275062
軟軟,0.09283647517275062
水雞,0.09283647517275062
倒楣,0.09283647517275062
沒熟,0.09283647517275062
就算,0.09283647517275062
雞腿,0.09283647517275062
不是,0.08779326628915726
一次,0.08779326628915726
問題,0.07599916859451505
態度,0.06780335883217581
客氣,0.06780335883217581
排骨,0.06780335883217581
品質,0.058810434576457314
一半,0.058810434576457314
肉絲,0.05472753442655656
桌點,0.05472753442655656
今晚,0.05472753442655656
老店,0.05472753442655656
時還,0.05472753442655656
