term,score
心蛋,0.11010685704023475
整體,0.10966084610832066
舒肥,0.10503804181209596
蔬菜,0.10147543858746441
小菜,0.1006438008014384
特色,0.09004703495724145
座位,0.08547554799709398
搭配,0.08401157511105178
口感,0.07672790559905925
位子,0.07594259889954
下次,0.07195874691866944
簡單,0.06852008485579977
親切,0.06847541732023775
第一次,0.06764799802423052
選擇,0.06668277615215831
服務態度,0.0663434722018838
日式,0.06235747736229438
用餐,0.06178559417759392
加點,0.06111485750149996
半顆,0.05997194752089808
空間,0.05702675221313472
機會,0.05198301009547239
胸肉,0.050554532682877185
店面,0.04987062423672349
深培,0.049196691192178274
提供,0.048883378108427814
點了,0.045079137080645273
需要,0.044536255311304104
酒釀,0.04418426607156892
一碗,0.04010035777215488
