term,score
牛排,0.20430954743860996
用餐,0.15081989340565446
貼心,0.12253033389189336
推薦,0.11272078145596369
威靈頓,0.11107659490524989
服務生,0.0889477254959366
口感,0.08656540512885189
座位,0.07542454266167244
開心,0.0742238667461498
建議,0.07164690890063585
搭配,0.0699234257318271
牛肉,0.0696389665582865
體驗,0.0654911272507281
拍照,0.0641153281223897
舒適,0.06133178418273759
不錯,0.06055669602659934
完美,0.058920600622772226
蛋糕,0.05851598360650283
前菜,0.05838125953624776
寶艾,0.057560066040469635
生日,0.0566001815038602
起來,0.056394470739108145
選擇,0.05435604075344641
服務人員,0.05413004381998249
水池,0.05408861171941305
安排,0.053801887661746525
氣氛,0.05326746776944609
君悅,0.05147834572739786
軟嫩,0.05000922122375891
西餐,0.04768949655462616
