term,score
咖啡,0.16978357935065905
提拉,0.12481730084585135
午餐,0.12305283684377152
千層,0.1081451045048089
甜點,0.09651523562627762
搭配,0.07725184531986691
用餐,0.07475191645406068
整體,0.0710586342641905
品質,0.06649348132656258
店內,0.06457582517737549
飲品,0.06312633330241502
建議,0.05914262320344427
喜歡,0.057652394545252755
明亮,0.05671992050633316
鮭魚,0.054269975235904384
早餐,0.053304797531388226
假日,0.05244127407888781
可頌,0.04961384700726572
開心果,0.0475978428798601
看到,0.04735888548533873
半價,0.047141492412988074
水果,0.046676610039902054
波赫士,0.04554806969514429
領地,0.04554806969514429
耶加雪菲,0.04535047399947036
昌吉,0.04414162639685684
平日,0.04376265433929966
香蕉,0.043710640912936805
使用,0.042909617822450105
空間,0.04261415358143188
