term,score
種類,0.1416784576053675
達斯,0.08576549742796419
哈根,0.08576549742796419
85,0.08460091850164032
蛋糕,0.0774604044433154
松葉蟹,0.070391241756557
冰淇淋,0.06999562710209814
牛奶,0.0672386565291207
缺點,0.05861885870898456
搭配,0.05065152462798608
霜淇淋,0.04714000910219193
優惠,0.04659140426800255
一下,0.04442169411295878
速度,0.03555255706071836
現煮,0.03378482013187678
壽司,0.02958212763829844
生魚片,0.028571837560974048
信用卡,0.02792731759137263
多樣,0.024658083437049994
牛排,0.02276383567978673
時候,0.022427672401262783
甜點,0.022014736120662376
合作,0.02198436173685732
雖然,0.02165678222726316
特別,0.01725105305995728
牛肉麵,0.016283089566372796
雞湯,0.013349422473451753
紅酒,0.0075507267694776975
水果,0.0072956703436063836
排隊,0.006353712072291878
