term,score
用餐,0.3600798549656398
蔬食,0.24172499948722967
晚餐,0.2232162469337703
有人,0.20628433709279184
提供,0.18982300615775027
不會,0.16123721317240575
茶苑,0.15063585743674726
醬料,0.13293111873919589
咖啡,0.1280064156344645
其實,0.11254667730148113
飲料,0.11227569976319329
生菜,0.11038685015135888
燕麥奶,0.11038685015135888
水果,0.11011088760902993
櫛瓜,0.11011088760902993
堅果,0.1066208928703325
熱食,0.102158766585199
詢問,0.09798462517733725
值得,0.09526832374290599
那種,0.0895632503050802
各式,0.08787656645743183
10,0.08730585758269484
桌椅,0.086354465262481
茄子,0.08343541061087466
一種,0.08187681953493227
選擇,0.0813103028234605
康普茶,0.07658233321131282
種類,0.07606036019762039
口感,0.0732995238020478
調味,0.07302173503825769
