term,score
用餐,0.12577387055923148
蔬食,0.10304552837690907
食材,0.09568955903883128
蛋糕,0.09208253441939669
原型,0.07827950303491335
沒有,0.07188822066319697
甜點,0.06920617232261879
醬料,0.06892382814860616
座位,0.0684869413413836
喜歡,0.06681904285981069
一道,0.06498693797012907
豆腐,0.06375228727131178
茶苑,0.062108314054389914
雖然,0.06158891846920182
使用,0.058627904754936844
美味,0.05769340793312512
咖啡,0.056568874132474245
清爽,0.05644914590642881
這麼,0.05494514426259513
蔬菜,0.054421580923106304
特別,0.053693044949541635
調味,0.05235344852826279
不會,0.04989808598760806
1280,0.047667999094609684
特色,0.04668695032448683
吃素,0.045983028465760335
加入,0.04529740915508629
好喝,0.04495618327635985
種類,0.0444251821128039
知道,0.04409018997494975
