term,score
地瓜,0.281707393408239
吐司,0.1773134152690503
起司,0.14531735285453531
花生,0.12686388764778295
豬排,0.07724327216637768
店面,0.0769026323097577
生菜,0.07220528388203132
內用,0.06212645812671891
生意,0.05870457183480594
總匯,0.045986147269558394
大概,0.04541532451161079
對面,0.03616337900186557
三明治,0.03157011558532973
程度,0.03157011558532973
沙拉,0.030624731283117823
特別,0.030404699287186795
鮮蔬,0.02785437540950453
外面,0.025371259733341964
早餐,0.025371259733341964
點餐,0.024800436975394358
試試,0.015764195404434432
裡面,0.00354664824117671
午餐,0.0008439329528864004
