term,score
水果,0.18744660413839137
奶油,0.17578098780600096
這次,0.16016222978464206
焙茶,0.144147251625894
260,0.14274434483082243
草莓,0.12122374397991859
記得,0.11781452081315855
清爽,0.09558209877283709
蛋糕,0.06805467885877159
千層,0.06353100706389164
不會,0.046426497367286226
一樓,0.02957293457974732
戚風,0.026693242346352564
很膩,0.025624418511902766
紅茶,0.024221511716831207
葡萄,0.021216492259786897
試試,0.019813585464715337
適合,0.01752670557985434
店內,0.01660831513506225
甜度,0.016601359305469313
新鮮,0.012390809987741051
濕潤,0.007344718858523329
那種,0.004563065248012442
