term,score
提拉,0.1435582792513973
咖啡,0.10144624057494726
喜歡,0.08415099141570058
伯爵,0.07207654665047562
焦糖,0.07022763958067549
巴斯克,0.06633621971317727
之前,0.06387421528839275
好喝,0.062375314663440797
一杯,0.06202393693726979
甜點,0.06185359850307179
蘇千層,0.061309405360815875
點了,0.054983478744769027
芭樂千層,0.05434320904116615
紅心,0.05434320904116615
朋友,0.05088995526400529
選擇,0.04894791218975206
特別,0.04719639470490916
超級,0.04653020774218666
口感,0.04581378686529117
舒適,0.041477935766081886
120,0.040246742298879555
座位,0.03786825236494842
奶茶,0.035990936195884546
鮮奶茶,0.035990936195884546
飲料,0.034752705673252546
二樓,0.024903632920263347
整體,0.009350809232067651
位置,0.00040858222948247924
