term,score
用餐,0.19143439317455196
醬汁,0.13578185542455817
特別,0.10399241660438979
蛤蜊,0.0956984293191395
選擇,0.08848808848167242
份量,0.07954088818387585
平價,0.0597835232866264
完全,0.05976222674741051
義大利麵,0.057471258433432565
薯條,0.05317263480183039
推薦,0.05283514698802863
cp,0.05278225822596622
建議,0.05250332072377412
台式,0.050081316225686956
調整,0.042026017854637554
服務費,0.04180295424244594
雞塊,0.04180295424244594
剛好,0.03152112902462102
10,0.029846177903615476
出餐,0.026057836337856598
這個,0.02564270227416124
不會,0.023334259696954365
時間,0.020736365474305206
附近,0.019794501512015915
很快,0.01621903941435851
