term,score
香料,0.13988378425370823
烤餅,0.11432464357369342
推薦,0.10244319282769665
咖哩,0.0875048219186306
一定,0.08742535993232206
用餐,0.08720154091494851
套餐,0.08102973307409513
親切,0.0784346845301892
奶油,0.07625790014406379
喜歡,0.05703898667567904
建議,0.05303568847373029
特別,0.05131130785821963
朋友,0.049381180281180714
麥餅,0.049150936506201844
搭配,0.048254367884918596
主廚,0.04719099170539514
奶茶,0.046784063553487715
扁豆,0.04527430645621935
masala,0.04417128677823945
外皮,0.044117918623251526
雙人,0.04186245398627507
香菜,0.04164614093706617
酥脆,0.041226697742693476
鈴薯,0.04009703283667711
豪華,0.0387431258954217
洋蔥,0.038313122469887176
脆餃,0.03728114853546599
招牌,0.034269444047416255
整體,0.033562666395979025
裡面,0.031191499110883474
