term,score
奶油,0.1952313671070675
冰淇淋,0.18963509222278027
大利,0.18635227239329033
墨西哥,0.1343900662563967
時間,0.10757191455548484
肯瓊,0.09741269880285085
只是,0.09291659511726207
不錯,0.08502227448655175
這個,0.08002141066549637
建議,0.07977268033803517
松露,0.07858959106441785
推薦,0.07767164202013505
雖然,0.06956716268105449
還有,0.06652925341736689
還不錯,0.06249568933060817
cp,0.06172745815408939
不會,0.06127500716884681
飲料,0.06061556464401298
濃湯,0.06051270624480069
加大,0.05966366781470747
份量,0.059559789177330784
適合,0.053006637432108705
套餐,0.04578975688435441
