term,score
店內,0.0903831820371184
氛圍,0.08876703310254494
友善,0.08522902318259852
寵物,0.08381847265019791
不會,0.08321512634625555
很大,0.07755798136452036
好喝,0.07161205205683117
適合,0.06943510871669015
父母,0.0673169736325688
搭配,0.06651963398578016
chill,0.06637072174498819
鬆餅,0.06555891080212706
喜歡,0.06491114767187678
那種,0.06432808402538356
服務態度,0.06225589020878619
板腱,0.060669898221033816
漢堡,0.05764146651958402
清爽,0.05666882366875281
剛好,0.05570673351709206
直接,0.05556473317219725
調酒,0.05538459625181986
超人,0.053495795383015285
氣媽媽,0.053495795383015285
牛排,0.052655972807063474
選擇,0.05252877711153797
週末,0.05242059952705398
調味,0.049754639499048556
點了,0.04777908321191133
用餐,0.0439935687472585
培根,0.042541096807273235
