term,score
泰式,0.15743666388956545
套餐,0.14655348401918006
份量,0.13020942574536565
用餐,0.12937020646105432
服務人員,0.11625143899931613
聚餐,0.0895802560136335
推薦,0.08643960811717627
親切,0.08453529093779444
一份,0.0807863614338386
地下室,0.07286383639369652
空心菜,0.07246295577348824
店面,0.06730956088528003
適合,0.06685256518775179
蝦餅,0.06536560647092017
奶茶,0.061897455228806936
單點,0.060749358028317824
店員,0.05809037384766125
咖哩,0.05551921973511667
每道菜,0.05547090203791952
兩個,0.05456599281454302
另外,0.053887947761981754
划算,0.05144554409673077
平日,0.05022998674605717
座位,0.049909738567415186
下次,0.04555448128342962
飲料,0.04394727681264086
蝦醬,0.043176652815726184
不錯,0.042866618245083386
整體,0.042802826567600545
甜點,0.04242244226544203
