term,score
搭配,0.120813536905
不同,0.10058986720785608
風味,0.0979656453078892
特色,0.0940947688656231
套餐,0.09298659245473644
更換,0.08768168378049192
喜歡,0.08137162801606762
不定期,0.07804918221959976
義大利麵,0.07762456359923857
咖哩,0.07595525307683954
用餐,0.07298057374044743
咖啡,0.07169351683023388
異國,0.06783032704929287
咖哩飯,0.06635964105349482
菜單,0.06443561230670537
用心,0.06346914281591372
起司,0.06292008016676703
期待,0.06272740064200262
一份,0.06271268728702543
時間,0.06270459292441247
主餐,0.06249716212042322
提拉,0.0620895243244009
推薦,0.06109312313023608
融合,0.05985621147744247
等待,0.057952161550567274
橄欖油,0.05608566127472665
溫馨,0.05561786872652423
感受,0.05494722022665474
驚喜,0.05413453546400526
餐前,0.0535557369081925
