term,score
直接,0.11725374264288702
服務人員,0.10423133574271981
道菜,0.09802171237931856
服務生,0.08392919739591864
問題,0.08049845150322145
上菜,0.08049845150322145
廁所,0.07730917278008782
點餐,0.0740824145268218
一道,0.06925600002142773
結帳,0.060321230436053044
桌面,0.060045580562788484
反應,0.05964211931430105
舒適,0.05559231506330116
裡面,0.05538611067062583
集團,0.048886813498211834
只有,0.04422791128732925
態度,0.04385963277477256
新鮮,0.03742511430885568
點了,0.03740491135479775
超級,0.03518680486751503
30,0.030720644513686314
不會,0.02895379816386859
裝潢,0.023121291011166514
半夜,0.02024562855104725
看到,0.018125314939123453
特地,0.017960217577616434
今天,0.017125404151818135
白菜,0.014677944424236786
師傅,0.013631243467739251
喜歡,0.01295928402048592
