term,score
這次,0.13483271845528724
港式,0.09868199060261627
24,0.09493506373278032
聚餐,0.08983275314208596
小時,0.07821231478491389
消費,0.06862949963790389
未來,0.06785050137326906
巨星,0.0661584351333668
折抵,0.06514560416844403
營業,0.06009488374078339
調酒,0.05269331182788871
酥脆,0.04933337353006176
腸粉,0.04543731179884679
巨蛋,0.04478317314382113
知道,0.04198748396215336
用餐,0.0377515827793221
人意,0.03638619066609874
份量,0.0341487728730915
整體,0.03316626637838546
特別,0.029392383749559256
失望,0.028894061764033127
建議,0.011853325811781043
米粉,0.011136772749848707
京星,0.002152599280105673
