term,score
推薦,0.1270452832333212
水餃,0.12390807562440674
喜歡,0.1192400580241452
好喝,0.09511400406343742
酒感,0.09277611460937243
整體,0.0886206030128065
名字,0.08258523997229184
親切,0.07901824210732142
雞湯,0.0721089655610298
氛圍,0.06766535000910526
裝潢,0.06341210735254349
蝦仁,0.06201417006450497
酒吧,0.06098823089262885
訂位,0.06043418442172113
麻辣,0.05798899298033911
傷心,0.05576040845054403
調酒,0.05423578889085917
經典,0.052437986111372945
小酌,0.05159920609612778
選擇,0.05095763266424455
牛肉,0.05048530173253917
特色,0.04843848143510775
懷舊,0.04766793444185455
心底,0.047279911045062684
情歌,0.047067749480358176
東區,0.04706329960431252
年代,0.04537830363838129
店內,0.04467353416961287
意外,0.04467353416961287
90,0.04430095099409139
