term,score
日式,0.1720437018416339
新鮮,0.16884118231682932
握壽司,0.1566170842022099
起來,0.13027304825337319
生魚片,0.12817116760317673
擁擠,0.12030841810328918
美味,0.11082700544836875
不過,0.11079355466910075
搭配,0.10788267333410609
烤物,0.10107376193457909
整體,0.09654820120204947
日料,0.09193298378685061
不錯,0.0885592386341082
用餐,0.08469104315148435
炸物,0.08080311199929055
甜點,0.07781502075563451
日本料理,0.07666410483969326
還有,0.07332876172171987
水準,0.0696961198143264
冰淇淋,0.06758082536104001
哈根,0.06758082536104001
鮭魚,0.06158262827367352
平日,0.054154151563094555
牛肉,0.05182934659263649
buffet,0.049241791655583934
