term,score
份量,0.1430372365790526
牛肉,0.10997600366644224
青醬,0.10679812329243504
義大利麵,0.10541475967126808
鱸魚,0.10153292346113311
麻油,0.10063690735963246
整體,0.0987100526733147
用餐,0.09717694921888863
沙拉,0.09177381865671777
雖然,0.08454159076810633
點了,0.08397094991523275
套餐,0.08284094799722606
只有,0.07694398330892717
不馬虎,0.07171968104784729
南瓜,0.071542221929237
濃湯,0.07001570495776378
一人,0.06961179949524338
搭配,0.06487214908691062
氣氛,0.06352569434848879
空間,0.05843953449364622
座位,0.05715796843750866
新鮮,0.054385801127903685
湯品,0.05293242617501958
速度,0.05236353616339394
友善,0.05009919319400606
相當,0.05009919319400606
調味,0.04954249414290631
口感,0.04525588620900868
