term,score
牛排,0.2201655674553437
喜歡,0.09213085207699634
沙拉,0.09145971442382825
用餐,0.0905809029103612
奶油,0.08360218805239947
芝麻,0.07952129215623822
服務人員,0.07933030787836479
干貝,0.0759908351612604
西餐,0.07460355387534368
鮑魚,0.0699366772449381
完美,0.06854864935838587
親切,0.06694098023392746
熟度,0.06258221570399654
生日,0.06068870372861766
整體,0.05777436091688589
牛尾,0.056799025436897764
水果,0.05579467203596899
洋蔥湯,0.05510504773587177
分熟,0.054854328128747895
慶生,0.05483447222549004
貼心,0.05418777472003125
處理,0.053334611949430163
朋友,0.052771513529475345
推薦,0.05207203818786523
午餐,0.05185909091806866
日式,0.05115892570903224
溫馨,0.05112907722730786
食材,0.05071781859761044
這個,0.04781723414417155
套餐,0.04775732286682158
