term,score
熱狗,0.15895887198238856
熱狗堡,0.1406145098578303
薯條,0.13563470605188915
很多,0.13273289349048506
牛肉,0.1281921780860325
起司,0.1274563986885378
通心粉,0.1050053031898366
搭配,0.0994137076699631
整體,0.08928343391536205
醬料,0.08482571044921569
口感,0.08199815079988619
帶皮,0.07498784607261424
蘋果,0.0712488630063988
一點,0.06976010845994016
自己,0.06717939976217296
肉醬,0.06634013497780811
內用,0.06369880056235988
不會,0.05988382385858704
還不錯,0.05912555453077636
喜歡,0.0542715990652669
下次,0.04798407416017311
試試,0.046761488135016314
不是,0.044603566044230915
套餐,0.039096478388638146
