term,score
用餐,0.15356158511775636
體驗,0.14734499707741003
食材,0.1208515760953806
師傅,0.12038746243031524
特別,0.11932726518099951
用心,0.09727920708989075
超級,0.09185375835440784
午餐,0.08947972657464404
口感,0.086271734888952
沒有,0.08403797692567781
有些,0.08347306159247442
生魚片,0.08185255440254938
整體,0.08059920477155919
水準,0.07884403683988239
或是,0.07707726855571538
每道,0.07630667515701185
不同,0.07597928257056125
海膽,0.07472443978405251
cp,0.07308725387999859
很多,0.06481554057379084
握壽司,0.06434727054804185
很棒,0.06250347361357472
不錯,0.05783695545904922
鮑魚,0.05721142203606515
完全,0.05235604955946874
新鮮,0.04990704517473873
香氣,0.04697978610157978
比目,0.04290389345895485
