term,score
大利,0.15300165717568234
親切,0.11989450339107599
南瓜,0.10296956623528539
店貓,0.10228782432152549
牛肉,0.09990500847644487
用餐,0.09773577241173259
奶油,0.09736835085917774
紅酒,0.09425149427657295
店內,0.09223469335591475
喜歡,0.09196108580357197
濃湯,0.08577832983110739
美味,0.07746123123281277
店裡,0.07706391797234807
還有,0.07507145968377522
超級,0.07253327495356245
溫馨,0.06715888067090969
很棒,0.06565923247904348
好喝,0.0630581355474811
金蒜,0.0625641363182658
濃郁,0.05819454057829028
羊肉,0.05667676438241178
推薦,0.05595321712047955
用心,0.05551364270875703
咖啡,0.052695417708237643
值得,0.052530345479720304
加點,0.05250686774202499
特別,0.05130995109365788
不錯,0.05102878061480905
建議,0.04773752593321465
食材,0.04747836049164009
