term,score
海鮮,0.1363797637968267
搭配,0.12690095138610716
法式,0.11771777660867781
廚師,0.08424007100794419
永續,0.07079035958956928
蛋糕,0.070650683562172
可麗露,0.07019426506532643
令人,0.07001658071832466
島嶼,0.06909262446007641
主廚,0.06458083109714946
一家,0.06253996541037804
奶油,0.06130063218376483
喜歡,0.05686117132577459
甜點,0.05312862688914591
開始,0.0522843794377043
海洋,0.05224870576065313
不會,0.05040652114853353
水準,0.05037843180892569
瑪德蓮,0.0501359306137561
蔬菜,0.04908185983959039
黑豬,0.047870150225088996
台灣,0.04574718312747667
點了,0.042558973245058224
剛好,0.04003954412171738
沙拉,0.037626861068558434
文山,0.036749033776833945
巧思,0.03606882533372038
特別,0.03280323880249751
le,0.03056639502931579
這家店,0.02925168789592592
