term,score
飲料,0.14349079273556767
套餐,0.127053199742788
速食店,0.12491968504355316
蝦堡,0.11232722491469738
好像,0.10966676921542517
特利,0.09514824581390247
整體,0.08835464348252647
薯球,0.08680579631310789
搭配,0.0861941641749722
比起,0.07508384454466195
薯條,0.06522423281255882
口感,0.058504537576173465
雖然,0.05253801627311593
番茄,0.037265447949982045
風味,0.03696911688680021
加上,0.03588462310754288
炸雞,0.03512910096190118
第一次,0.02347928805846381
店內,0.02289665140947393
雞塊,0.01967737337431843
回憶,0.019428527625501707
以前,0.019349222046088015
傳統,0.01810936821136557
看到,0.014164698091081257
建議,0.012674161752931866
薯塊,0.010731175777055776
附近,0.010209633699677475
乾淨,0.009924441689943463
用餐,0.004507511732350783
