term,score
牛肉,0.11112851058158324
通心粉,0.0851294378556631
鮮蔬,0.08357189339755376
這次,0.06637959927606119
酥脆,0.06402073350868989
生菜,0.06352685505400639
玉米,0.06181928498430192
喜歡,0.060528519589280586
不會,0.05576158858946447
試試,0.055513225688304024
洋蔥圈,0.05547061199130311
鮮蝦,0.05302951361667258
裡面,0.05232560121586209
特色,0.04715582458081512
新鮮,0.046895762370856166
親切,0.04560875763478464
分店,0.044229374511009105
濃湯,0.03693602989904106
不用,0.03436439407946975
多汁,0.032671539034684
速食,0.03267112107915839
清爽,0.030236181359754748
漢堡,0.01876375203618072
座位,0.01104037905080791
特別,0.010779127333638942
另外,0.005775740681454623
