term,score
可麗餅,0.11152788761297286
蛋糕,0.10842119423282315
法式,0.09885880446502313
下午茶,0.09731612509614962
甜點,0.08941991402087786
店家,0.08674229996843082
用餐,0.08510028496505015
搭配,0.08450695238778741
預約制,0.07929074201835815
舒服,0.07660317777767259
食材,0.07260089677087887
飲料,0.07246995273662056
令人,0.07058142529937025
美味,0.0701891225286528
口感,0.06983273163474162
芒果,0.0653226964005519
空間,0.06317979280770888
飲品,0.06219331871343108
水果,0.0612858528799833
甜食,0.05990451823422083
舒適,0.059213831424187936
山三石,0.059195814229944035
套餐,0.057527843503142655
適合,0.05725462773141095
布列塔尼,0.055574524081472995
用心,0.05392931657622847
地方,0.05315135722154839
不錯,0.052770191658710115
香草,0.05270594954916096
蕎麥,0.05212749087409659
