term,score
印度,0.1737787905525594
咖哩,0.16722272554360385
烤餅,0.1465480152480716
香料,0.12667035278119285
起司,0.09610981524395937
咖喱,0.09041918905288389
熱情,0.08714933738362715
服務人員,0.08250285918422705
雞肉,0.08185658740516094
不錯,0.07789689869077243
搭配,0.0768038742943033
整體,0.07486739347978001
英文,0.07054914608884984
特別,0.06688345644350974
用餐,0.06389612520654003
美味,0.062418760468798476
台灣,0.06109521671391872
貼心,0.05962780093023354
口感,0.05800065324401985
不過,0.05697360428444506
酥脆,0.0561817002877278
奶油,0.055410989761403726
一道,0.05493654288426933
不是,0.053953457798317325
喜歡,0.05365766863175301
體驗,0.053190577132334355
超級,0.05276724916769379
羊肉,0.0523062664072962
不同,0.050990322287485956
香氣,0.04921314074929618
