term,score
烤肉串,0.09202919565030097
用餐,0.08289476315291266
態度,0.08194811721419037
上菜,0.06823529254001298
一般,0.06719823936987639
內用,0.05431903753205987
生菜,0.049987542661333664
甘蔗,0.04545292253969797
咖哩,0.042075489589407385
調味,0.040768785151054254
入味,0.03881675693741727
光顧,0.03229741098526343
這種,0.03112120812308316
一次,0.0294153702894011
不夠,0.02934051431954679
服務人員,0.02811807040872433
涼拌,0.01963969754936304
其實,0.017283228583659906
不會,0.015520617040874034
軟嫩,0.01295663265650606
紅蘿,0.011316856356166513
豆芽菜,0.00820393653991923
廁所,0.007392584389026111
米粉,0.005795255138817762
牛肉,0.004773873934930367
老字號,0.004527914893249052
座位,0.004144132791865575
九層,0.0023704023890747106
包裹,0.0013902123312554346
