term,score
蛋糕,0.07017124599453547
份量,0.05463490918454531
聚餐,0.054059253017815515
當月壽星,0.053856276276641135
生日,0.05139106086606473
套餐,0.049515065322511105
義大利麵,0.0487826136426711
飲料,0.04772084178683632
沙拉,0.043950227252221606
冰淇淋,0.043020873883008265
上面,0.04058877346441152
相當,0.03817711491163812
好看,0.036896216036772
濃郁,0.033646238042496515
創意,0.03330406839991604
裝潢,0.03083548982806686
培根,0.03028603520379545
親切,0.029262528587990708
商業,0.028502462924375596
奶油,0.028121528273632283
多汁,0.026794787589325984
新鮮,0.026603348019274477
態度,0.026345264191637102
訂位,0.025479869299405974
海賊,0.024289844958361978
視覺,0.02333942240062261
今天,0.023245056642893287
滿滿,0.023101407652842326
甜點,0.022906122670945467
值得,0.022202530446112985
