term,score
不錯,0.1326027724226994
生日,0.12054198339795488
開胃,0.11808756354038775
點餐,0.11661813567083956
一送,0.10142710689102605
加入,0.09727393143677102
起來,0.09657779048345685
泰式,0.09022951283706365
套餐,0.0886214835666986
使用,0.08489452572045521
希望,0.08481032657370421
店家,0.08443471649565971
排飯,0.07939716643893352
用餐,0.07909004701544241
優惠,0.0789955443620547
紅茶,0.07856839323324954
line,0.07596907801752867
份量,0.07478728762602677
會員,0.07000948431828022
泰奶,0.06735129695012915
清爽,0.0626165720606516
玉米,0.06070570755847496
小菜,0.05895459256743235
不是,0.05732903229046765
配菜,0.056785344365676844
花椰菜,0.050954121700456885
一杯,0.04928415610360497
商業,0.046727406840844574
午餐,0.046727406840844574
