term,score
還不錯,0.1239417251267806
超過,0.10839635983087788
300,0.0932489614168647
份量,0.08812588881453971
普通,0.08262781675118706
好像,0.08262781675118706
起來,0.08262781675118706
口水,0.08199090101602513
家規,0.08129726987315841
服務費,0.07263940501269361
單點,0.07263940501269361
主菜,0.0664942733617902
碟子,0.0664942733617902
白菜,0.0664942733617902
用餐,0.0664942733617902
沒特別,0.056705596610188286
調味,0.056705596610188286
雞湯,0.056705596610188286
配菜,0.056705596610188286
苛刻,0.05419817991543894
那些,0.05419817991543894
評分,0.05419817991543894
店員,0.05419817991543894
台灣,0.05419817991543894
每人,0.05419817991543894
先生,0.05419817991543894
387,0.05419817991543894
伴菜,0.05419817991543894
套餐,0.05202984860852253
不夠,0.05202984860852253
