term,score
套餐,0.14747057824727225
用餐,0.13932280650106058
美味,0.1361476937328427
胸肉,0.126544285564763
小菜,0.11132482702250505
配菜,0.1096488962395342
剝皮,0.1084816837467103
辣椒,0.1084816837467103
定食,0.10267178331849841
口水,0.1012188203194464
附近,0.09317921954521566
整體,0.09203353825893408
不錯,0.0912274618512327
點餐,0.08784373774818233
空間,0.08777263458124648
雞湯,0.08738989679372712
麻雞,0.08666530012466128
花椒,0.08380307878651994
沒有,0.08373718351203745
蛋糕,0.07557446409278483
蜂蜜,0.07557446409278483
告青,0.06890125353690227
華山文,0.06864661791986908
美食,0.0678575932471787
糙米,0.06535418137771747
創園區,0.061578063166980376
特別,0.059906634921453955
軟嫩,0.059557733686149195
