term,score
大利,0.21630268821986498
平價,0.1491646522991707
附近,0.1076758605359132
座位,0.1017438030823624
午餐,0.09592049496912863
不錯,0.0917926097954655
時間,0.0855440102902736
雞腿,0.08506017437043112
腿肉,0.08014177778111889
很多,0.07633054950870087
青醬,0.07524341901292335
松山,0.07474257798869902
友善,0.07472087503860599
咖啡,0.07362016826177886
用餐,0.06777800471534191
好喝,0.06558522078605329
親切,0.06421432909629801
店員,0.06342831414063531
中午,0.06172661876110727
上班族,0.06172661876110727
小店,0.0586016366140428
排燉,0.05105193549656378
