term,score
火鍋,0.20079436176134446
推薦,0.1828557741310664
湯底,0.17051170448975292
這次,0.16046071536718864
兩人,0.14491570058409217
整體,0.11028532652786782
牛肉,0.10032719480369824
缺點,0.07492718700251912
莫凡,0.07332107459384551
達斯,0.06828748563344876
建議,0.05897386064559025
速度,0.058423546684992986
提供,0.05764455946062434
哈根,0.05381249969018787
位置,0.040779311462375664
訂位,0.038719097505445714
特別,0.024113677837116133
不會,0.01952063587470259
10,0.015502678889036059
蛤蠣,0.01429446784399907
體驗,0.013841845299056785
新鮮,0.011460672419455004
態度,0.00913935736661306
冰淇淋,0.002000576464709067
