term,score
靠窗,0.1240900951375366
選擇,0.10267002989815724
食材,0.09400230582064906
時間,0.08859826660457568
飲料,0.08271694497231434
酒類,0.06937958509305774
景觀,0.06368306206073301
白酒,0.06357779638895962
享用,0.06357680508587671
麻辣,0.06012548808048536
101,0.05512170372075917
品質,0.054914047425014365
一定,0.054162503324892156
紅蝦,0.05341122952267366
信義遠,0.05284840644678247
蔬菜,0.05212902955676829
直接,0.052125302015812294
自助,0.050674453415988474
點餐,0.04950194560810586
座位,0.04527545519272166
肉質,0.044328292154457695
用餐,0.04295858065694162
第一次,0.03861706700176132
新馬辣,0.03861706700176132
啤酒,0.0365904450486923
一次,0.033890213132995964
泡酒,0.03358347804136457
code,0.02993070622603416
qr,0.02993070622603416
上菜,0.02993070622603416
