term,score
甘蔗,0.1368095370407681
用餐,0.09757085448586303
不錯,0.09478197857479696
喜歡,0.09212261413654213
部分,0.09079671338450061
整體,0.08983693366703215
紅燒,0.08596082341059263
三杯,0.08147705134326093
推薦,0.07764339675875837
南山,0.07588764046959416
服務人員,0.07389707962855238
親切,0.07307158822969313
時香,0.07267393981067047
這個,0.07170430659707855
一直,0.07112605258809265
回訪,0.06802918605905321
再訪,0.06692560973959291
還有,0.06673263702674559
套餐,0.0628357261779318
份量,0.06088730894239334
適合,0.059855789413649704
微風,0.05830214153587703
今天,0.05598835013462353
剝皮,0.05400735253055812
辣椒,0.05400735253055812
一道,0.05322372900548168
10,0.05301035709876445
需要,0.05288070504325845
牛肉,0.04892432761872369
氣氛,0.04834301301008199
