term,score
壽司,0.11432234569974746
10,0.10977346681645501
師傅,0.10483009606225532
口感,0.10404410716344659
搭配,0.09924313312076671
食材,0.09240041313252892
火鍋,0.0912816385511645
份量,0.09126061203270634
20,0.09083506434043616
cp,0.08292080367554674
沒吃過,0.0828384716276542
用餐,0.0804588954127596
豆腐,0.08030923069407395
1800,0.0760056338589307
腰果,0.07336011414955426
30,0.07028177268295799
還有,0.06737323495639605
不錯,0.06470828870249573
套餐,0.064299107535714
握壽司,0.06031831370931765
喜歡,0.053055827643963605
時間,0.05194912061561861
板前,0.051239655664306896
值得,0.050294042237582756
甜點,0.047887500650773754
起來,0.04776837273876851
日本,0.044549640926354384
比目,0.044247928821994464
時段,0.04405939491271591
日料,0.04280551616097545
