term,score
泰式,0.1648656258325671
泰國,0.11421803404794151
咖喱,0.1013390361576545
口感,0.09090886521746666
南瓜,0.07105630515571487
辣度,0.07002167785555144
包廂,0.06694214501600027
搭配,0.06511026428745463
米其林,0.05902674214547533
另外,0.058965489684400046
低消,0.057280317225376104
喜歡,0.056308780535826906
不會,0.05372262960271897
軟嫩,0.053373817095934306
特別,0.05193923695162173
很棒,0.05082631840218222
排骨,0.050703476582278834
客座,0.05034861695625046
好像,0.04682384949391496
上桌,0.04639430493877282
看到,0.04578031624005039
清爽,0.04420647966188698
台北,0.04286096228598691
椰汁,0.03569394128345829
酸辣,0.03451477987469623
喜來,0.031757719502196954
完全,0.02984234109673718
松阪豬,0.029734372754408798
豐富,0.02937110561995577
值得,0.026977312381909525
