term,score
用餐,0.14672818943974023
值得,0.14558586539497173
火鍋,0.13616565696278093
新鮮,0.12042093906796879
甜點,0.11420452146411722
用心,0.10430743422486911
自然,0.09701106524262235
食材,0.09539135646217153
超級,0.08879699279364045
搭配,0.0850528024789653
湯頭,0.07889776074052733
美味,0.07321483095376775
驚艷,0.06365566995614491
推薦,0.06174541690656282
裝潢,0.05948507662900715
一道,0.05641126948758877
舒適,0.05405238101380847
親切,0.05258823385158353
肉質,0.05035761284523298
滿滿,0.049869654743768844
今天,0.04962883403983995
海鮮,0.0423353942885913
牛肉,0.03851764064659451
醬料,0.03851764064659451
選擇,0.03693764981652152
