term,score
飯店,0.1515062485371695
sandy,0.1484219816362963
親切,0.12955761547136252
cynthia,0.10951297892500797
包廂,0.1063821137241277
感謝,0.09865925258500362
舒適,0.08956692009007494
遠東,0.08926865416768986
推薦,0.08730561486386391
家人,0.08312615397914469
服務人員,0.07659546012964044
熱情,0.07568694641112626
酥脆,0.07269773617092738
用餐,0.06714505770013916
喜歡,0.06590541292583309
貼心,0.06574007033157361
dora,0.06535986635890784
香格里拉,0.06437047285632638
氣氛,0.06362259048961619
體驗,0.06215402792512778
聚餐,0.05983808461522605
適合,0.04939421536132555
入口,0.04870972002105776
今天,0.045884574273297514
香宮,0.01569046634330322
