term,score
牛排,0.09099458630585129
喜歡,0.0869875230214871
搭配,0.07713450264398831
酥脆,0.07432117991750771
美味,0.07074119729230484
薯條,0.06456002937797173
口感,0.06363811311253284
沙拉,0.06216274250389256
松露,0.06058446352166266
舒服,0.05686695886119387
辣椒,0.0564281899342007
剝皮,0.0564281899342007
蘑菇,0.052837026179721386
不會,0.05092664989107405
知道,0.045506259229953334
乳酪,0.04528090322242798
加上,0.044159293124784615
白酒,0.04205418714022891
好喝,0.04138239104473376
入口,0.04086903883588451
滿滿,0.03979536561719751
起司,0.03941541565630315
過貓,0.03918510565637756
螺旋,0.036223927862524326
厲害,0.035497353152482564
法國,0.03374807535772858
開胃,0.03170402460321453
酒肉,0.031602437550876834
荷蘭醬,0.029445762878498073
直接,0.028545637584174017
