term,score
溫馨,0.13081692673159678
大利,0.1288135367490332
牛肉,0.11045509317269672
南瓜,0.09998638838308514
不錯,0.09299379507280976
搭配,0.07729491409928788
美味,0.07533546082541236
用餐,0.07203399261218008
濃湯,0.06887016706805202
一家,0.06854532617262597
義式,0.06304101187806996
完全,0.06196453623511161
感受,0.06196453623511161
圓直,0.06190162794670943
店家,0.061592395579893225
份量,0.05994986585235254
豐富,0.056461686703889256
飲料,0.05639395366127434
好喝,0.056154225238688724
舒適,0.05562721572110338
清爽,0.05375814120884352
剝皮,0.05201523266206154
夏綠沁,0.051985861576850964
一般,0.04982705116001983
享受,0.049671126821344176
朋友,0.049671126821344176
驚艷,0.04899548516562976
相當,0.048079998179227396
香紅酒,0.04755606490510374
奶油,0.04723127492152709
