term,score
點餐,0.09558387771632076
咖啡,0.09553447992031497
完全,0.09524150096865466
山豬,0.08931646021981943
這個,0.08421317275249615
結果,0.07909695860191494
特別,0.0782763206918564
薯條,0.06868713613823822
鮭魚,0.061847371071443016
看到,0.059096214783848786
西西里,0.058417556998856486
品質,0.057109078085310676
抓餅,0.05519742811482645
明太子,0.0540467288432767
以及,0.053568541477539325
10,0.052329748513555624
魚早,0.048100510730199546
用餐,0.04800174312604864
點了,0.04592205928667881
其實,0.04484773486697906
推薦,0.03490227495203346
發現,0.029671247641901898
整體,0.02866994380673861
份量,0.02223534109576055
感受,0.017968354544601585
套餐,0.017413200473485504
蛋餅,0.01607122784487547
上面,0.010905894607655267
放在,0.010905894607655267
漢堡,0.008095808902770965
