term,score
氣氛,0.08982390330958542
美味,0.07277867617259247
花生,0.06424842915331302
湯圓,0.05287446885626978
拼盤,0.05230637302859853
選擇,0.04936741898276009
位置,0.048378034176844276
假日,0.04157213509482578
舒服,0.040607535095691046
訂位,0.03963373233898898
水果,0.038275257571490216
座位,0.03726656365494479
一杯,0.0358041904593439
舒適,0.035016591927782045
蜂蜜,0.03479188054823746
線上,0.034627003118067184
酒精,0.033025683448672724
超級,0.032709239502108016
適合,0.03145262968069126
豐富,0.03024403630375737
建議,0.02778174235952439
稍微,0.02756498651546003
美食,0.026810077592090763
台北,0.025900069794034336
胸肉,0.025808943966431117
巷弄,0.025806128090275098
優格,0.025681470957503776
早餐,0.025289671601758847
墨西哥,0.02466850016679646
辣雞,0.02466850016679646
