term,score
shot,0.11460741710882673
一口,0.09913986591567431
喜歡,0.09446409207031926
晚上,0.09292308311962542
氣氛,0.08985708338024084
很棒,0.0861407534180381
親切,0.08425766974061975
好喝,0.07845110037025893
朋友,0.0727651619984977
口感,0.06922527824650546
拍照,0.06410803845452945
一杯,0.06030170270991021
適合,0.05690404803982807
特別,0.05661488276640291
外面,0.05624254331861312
不會,0.0559724797573635
另外,0.05564376671132101
小酌,0.050467120216050765
這個,0.048996553158620657
啤酒,0.04578745411135314
我個,0.04458459258657123
門口,0.04437124123372997
第一次,0.04384635688428378
聚會,0.04201359386519931
聊天,0.03786831020693981
烏龍,0.0016076042913387434
